,factors_id,distance_threshold_multiplier,increment_threshold,lexicalization_noise_level,collocations_noise_level,concept_level_weights,message_id,message,concept_level_weights,threshold_per_concept,total_threshold,increment_threshold,semantic_noise,syntactic_noise,time,sentence_set,verdict,distance,length_of_sentence,depth_of_sentence,n_sub_trees,n_head_words,n_roots,n_leafs,verdict_success,verdict_one_word,verdict_failure
11,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,0.970,Lir that futebem and namololel which namololel.,success,1.830,4,3,1,4,9,48,1,0,0
12,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.960,Tineman.,no more head words. failure,xxx,1,1,1,11,29,192,0,0,1
13,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.510,Senuwehad that lir.,no more head words. failure,xxx,2,2,1,11,34,242,0,0,1
14,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,4.680,Lesefeh.,no more head words. failure,xxx,1,1,1,11,45,348,0,0,1
15,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.290,Goton.,no more head words. failure,xxx,1,1,1,11,22,132,0,0,1
16,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,1.350,Rogeraf that raranon which lir and futebem that laneman.,success,1.990,5,4,1,3,11,89,1,0,0
17,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.100,Tanef that futebem.,no more head words. failure,xxx,2,2,1,11,30,205,0,0,1
18,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.700,Netewir.,no more head words. failure,xxx,1,1,1,11,26,169,0,0,1
19,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",1,TEP SEGIRALEH FETETES NAGOLOMET METAR,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.120,Gebemoh.,no more head words. failure,xxx,1,1,1,11,30,207,0,0,1
0,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.830,Net.,no more head words. failure,xxx,1,1,1,11,38,270,0,0,1
1,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.500,Rarof.,no more head words. failure,xxx,1,1,1,11,24,151,0,0,1
2,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.460,Vekep.,no more head words. failure,xxx,1,1,1,11,24,147,0,0,1
3,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.660,Fezet.,no more head words. failure,xxx,1,1,1,11,26,165,0,0,1
4,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,1.790,Rabenen that namololel which namololel that raranon that tipahis.,success,1.944,5,4,1,5,16,118,1,0,0
5,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.290,Non.,no more head words. failure,xxx,1,1,1,11,22,132,0,0,1
6,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.900,Deset that raranon.,no more head words. failure,xxx,2,2,1,11,37,278,0,0,1
7,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.840,Rabenen.,no more head words. failure,xxx,1,1,1,11,28,181,0,0,1
8,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.330,Non that raranon which tipahis.,no more head words. failure,xxx,3,3,1,11,34,224,0,0,1
9,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.460,Hehaw.,no more head words. failure,xxx,1,1,1,11,24,147,0,0,1
10,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.790,Duref.,no more head words. failure,xxx,1,1,1,11,26,178,0,0,1
11,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.980,Hegim.,no more head words. failure,xxx,1,1,1,11,29,194,0,0,1
12,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.550,Tineman.,no more head words. failure,xxx,1,1,1,11,24,156,0,0,1
13,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.480,Rarof.,no more head words. failure,xxx,1,1,1,11,24,149,0,0,1
14,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.460,Penunogun.,no more head words. failure,xxx,1,1,1,11,24,147,0,0,1
